query	entity	predicate	sparql_query
Who was the United States president who also served as a governor of Indiana Territory?	Indiana	country	0.3893844968953147	 SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/branch> <http://dbpedia.org/resource/Indiana_Territory> } 
Who designed the language integrated query?	Language_Integrated_Query	name	0.3000844218367585	SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Language_Integrated_Query> <http://dbpedia.org/ontology/designer> ?uri  . }
Name the debut team of Dan Otero ?	Dan_Otero	team	0.3727336735122133	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Dan_Otero> <http://dbpedia.org/ontology/debutTeam> ?uri } 
Who founded the Not on our Watch NGO?	Non-governmental_organization	subject	0.2431096528269799	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Not_on_Our_Watch_(organization)> <http://dbpedia.org/ontology/foundedBy> ?uri } 
Which company owns Sony bank ?	Sony	name	0.3204949066663282	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Sony_Bank> <http://dbpedia.org/ontology/owningCompany> ?uri } 
Who is the writer of mark twain Tonight ?	Mark_Twain_Tonight	name	0.35438836228378023	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Mark_Twain_Tonight> <http://dbpedia.org/property/writer> ?uri } 
To which political party does Virendra Kataria belongs ?	Virendra_Kataria	party	0.39033466742467404	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Virendra_Kataria> <http://dbpedia.org/property/party> ?uri } 
Who is the narrator of The Price of Beauty ?			-inf	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/The_Price_of_Beauty> <http://dbpedia.org/ontology/narrator> ?uri } 
Who operates Liverpool Playhouse ?	Liverpool_Playhouse	country	0.2531435669239956	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Liverpool_Playhouse> <http://dbpedia.org/ontology/operatedBy> ?uri } 
To which series does Lost special belong to ?			-inf	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/The_Lost_Special> <http://dbpedia.org/property/series> ?uri } 
Where Everybody knows you is the theme album of which show ?	Concept_album	name	0.3543383564575382	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Where_Everybody_Knows_Your_Name> <http://dbpedia.org/ontology/album> ?uri } 
Alexander Magleby, a rugby player is alma mater to which university?	Charles_Paul_Alexander	name	0.24543095429919684	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Alexander_Magleby> <http://dbpedia.org/property/university> ?uri } 
List the companies operating in Australia?	Australia	place	0.37647475443152456	 SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/regionServed> <http://dbpedia.org/resource/Australia> } 
Who edited  British Gazette ?	British_Gazette	subject	0.2759291467903668	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/British_Gazette> <http://dbpedia.org/property/editor> ?uri } 
What are the notableworks of Russell T Davies?	Russell_T_Davies	subject	0.3050737850570193	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Russell_T_Davies> <http://dbpedia.org/property/notableworks> ?uri } 
List the director of The Adventures of mimi ?			-inf	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/The_Adventures_of_Mimi_(video)> <http://dbpedia.org/property/director> ?uri } 
To which country does Peter Blay owe his allegiance?			-inf	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Peter_Blay> <http://dbpedia.org/property/allegiance> ?uri } 
What are the current music bands of Chester Bennington?	Chester_Bennington	writer	0.20648454456467502	 SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/currentMembers> <http://dbpedia.org/resource/Chester_Bennington> } 
Which driver had the pole position in 1994 Spanish Grand Prix ?	1994_Spanish_Grand_Prix	course	0.3360810474202067	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/1994_Spanish_Grand_Prix> <http://dbpedia.org/ontology/poleDriver> ?uri } 
Who all are known to play the Gibson Guitar Corporation?	Gibson_Guitar_Corporation	owner	0.23949054477074372	 SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/notableInstruments> <http://dbpedia.org/resource/Gibson_Guitar_Corporation> } 
Name the partners of Kelly Brook?	Kelly_Brook	name	0.38890309802371276	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Kelly_Brook> <http://dbpedia.org/ontology/partner> ?uri } 
Who is married to Gerard Piqu?			-inf	SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/partner> <http://dbpedia.org/resource/Gerard_Piqué>  . }
What are the nicknames given to the characters of The Wolves of the Mercy Falls?	Mercy_Falls	name	0.35246803626561773	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/List_of_The_Wolves_of_Mercy_Falls_characters> <http://dbpedia.org/property/nickname> ?uri } 
what is the headquarters of Juan Dalmau Ramerez?	Juan_Dalmau_Ramírez	name	0.3243263337128012	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Juan_Dalmau_Ramírez> <http://dbpedia.org/property/headquarters> ?uri } 
What is the religious affiliation of Neungin High School?			-inf	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Neungin_High_School> <http://dbpedia.org/property/religiousAffiliation> ?uri } 
Who is the owner of the South end ?			-inf	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/The_South_End> <http://dbpedia.org/property/owners> ?uri } 
What is the colour of Xocolatlite ?	Xocolatlite	subject	0.34986100662518566	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Xocolatlite> <http://dbpedia.org/ontology/colour> ?uri } 
What developed EMMS?	EMMS	subject	0.3097096455717942	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/EMMS> <http://dbpedia.org/ontology/developer> ?uri } 
In which time zone is Pong Pha?	Potentially_hazardous_object	subject	0.2842400343249995	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Pong_Pha> <http://dbpedia.org/ontology/timeZone> ?uri } 
What honours did Reigh Count receive?	Reigh_Count	subject	0.3171238511087476	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Reigh_Count> <http://dbpedia.org/ontology/honours> ?uri } 
In which city wasThe Triple Door (The Courage album)  performed live?	Courage	subject	0.17585416424237058	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Live_at_The_Triple_Door_(The_Courage_album)> <http://dbpedia.org/property/recorded> ?uri } 
List the battles fought by  Ali Habib Mahmud ?	Ali_Habib_Mahmud	battle	0.3995308601733179	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Ali_Habib_Mahmud> <http://dbpedia.org/property/battles> ?uri } 
Name the local authority of Trinity School, Brentwood ?	Local_government	subject	0.20675215356564947	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Trinity_School,_Brentwood> <http://dbpedia.org/ontology/localAuthority> ?uri } 
Name the president of Wyche Fowler ?	Wyche_Fowler	name	0.409032216474382	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Wyche_Fowler> <http://dbpedia.org/ontology/president> ?uri } 
To which educational institute does Cornell University Press belong to?	Cornell_University_Press	country	0.3522899184170917	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Cornell_University_Press> <http://dbpedia.org/ontology/parentCompany> ?uri } 
Philadelphia City Council is the governing body of which city?			-inf	 SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/governingBody> <http://dbpedia.org/resource/Philadelphia_City_Council> } 
What are the binomial authority of Menetries's warbler?	Binomial_nomenclature	subject	0.2705682418070196	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Menetries's_warbler> <http://dbpedia.org/ontology/binomialAuthority> ?uri } 
Which state does Jerome B. Chaffee belong ?	Roger_B._Chaffee	name	0.3018045481551154	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Jerome_B._Chaffee> <http://dbpedia.org/property/state> ?uri } 
Name  the Pole driver of 1994 Spanish Grand Prix ?	1994_Spanish_Grand_Prix	name	0.32566891829640005	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/1994_Spanish_Grand_Prix> <http://dbpedia.org/property/poleDriver> ?uri } 
What is Naval Support Activity Naples a part of?	Naval_Support_Activity_Naples	subject	0.3710917155989642	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Naval_Support_Activity_Naples> <http://dbpedia.org/ontology/type> ?uri } 
What is the successor of PlayStation 4	PlayStation_4	successor	0.3437963227676442	SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/successor> <http://dbpedia.org/resource/PlayStation_4>  . }
What is the location country of Teperberg 1870 ?			-inf	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Teperberg_1870> <http://dbpedia.org/property/locationCountry> ?uri } 
What type of engines are utilised by Purvis Eureka?	Purvis_Eureka	subject	0.30935397979125845	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Purvis_Eureka> <http://dbpedia.org/property/engine> ?uri } 
Who edited Easy street ?	Easy_Street_Records	subject	0.24617952801785098	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Easy_Street_(film)> <http://dbpedia.org/ontology/editing> ?uri } 
List the territory of Tonkin Campaign ?	Tonkin_Campaign	place	0.39061583426870383	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Tonkin_Campaign> <http://dbpedia.org/ontology/territory> ?uri } 
For which teams did Ryan Powell play for?			-inf	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Ryan_Powell_(lacrosse)> <http://dbpedia.org/ontology/team> ?uri } 
Name the club of Julie Hastings ?	Julie_Hastings	name	0.4014239679609541	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Julie_Hastings> <http://dbpedia.org/ontology/club> ?uri } 
From where does the river Upper Neretva start flowing?	Upper_Neretva	point	0.4036208292461162	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Upper_Neretva> <http://dbpedia.org/ontology/riverMouth> ?uri } 
By what style was Providence Chapel, Charlwood made?	Charlwood	point	0.312690666458165	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Providence_Chapel,_Charlwood> <http://dbpedia.org/property/style> ?uri } 
list some companies founded by Jim Harris.			-inf	 SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/foundedBy> <http://dbpedia.org/resource/Jim_Harris_(entrepreneur)> } 
Where was david Scherman trained ?	David_Scherman	works	0.3148916710866672	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/David_Scherman> <http://dbpedia.org/property/training> ?uri } 
Which nationalist group was responsible for foundation of Young Lords?	Young_Lords	country	0.3363509963920981	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Young_Lords> <http://dbpedia.org/property/international> ?uri } 
Count all the stateless people	Statelessness	country	0.3380757816837085	SELECT DISTINCT COUNT(?uri) WHERE {?uri <http://dbpedia.org/ontology/citizenship> <http://dbpedia.org/resource/Statelessness>  . }
Josef Bhler belongs to which political party?	Political_party	subject	0.23346150278094616	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Josef_Bühler> <http://dbpedia.org/ontology/occupation> ?uri } 
What novels are belong to the genre of Utopian and dystopian fiction?	Utopian_and_dystopian_fiction	genre	0.378443770251395	 SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/literaryGenre> <http://dbpedia.org/resource/Utopian_and_dystopian_fiction> } 
What is the largest city of Pulau Ubin ?	Pulau_Ubin	country	0.39521943531100595	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Pulau_Ubin> <http://dbpedia.org/ontology/largestCity> ?uri } 
How many apes are there?			-inf	SELECT DISTINCT COUNT(?uri) WHERE {?uri <http://dbpedia.org/ontology/family> <http://dbpedia.org/resource/Ape>  . }
Name the appointer of William Clark ?	William_Clark	name	0.3388633680452249	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/William_Clark> <http://dbpedia.org/property/appointer> ?uri } 
in which movies have momoki kochi acted			-inf	 SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/starring> <http://dbpedia.org/resource/Momoko_Kōchi> } 
Music of how many things has been given by Akira Ifukube?	Akira_Ifukube	writer	0.24642713247313827	SELECT DISTINCT COUNT(?uri) WHERE {?uri <http://dbpedia.org/property/music> <http://dbpedia.org/resource/Akira_Ifukube>  . }
Name the awards won by Elie Wiesel ?	Elie_Wiesel	award	0.38233913102820627	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Elie_Wiesel> <http://dbpedia.org/property/awards> ?uri } 
Who are the producers of Marie Sisters?	Marie_Sisters	subject	0.31370271995415117	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Marie_Sisters> <http://dbpedia.org/property/producer> ?uri } 
What is the origin of Xynisteri?	Xynisteri	origin	0.4047317818631678	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Xynisteri> <http://dbpedia.org/ontology/origin> ?uri } 
Who are currently playing for Barcelona FC?	FC_Barcelona	after	0.32977915310521755	 SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/currentclub> <http://dbpedia.org/resource/FC_Barcelona> } 
Who is the owner of Saumarez ?	HMS_Saumarez	subject	0.32945456042825144	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Saumarez_(horse)> <http://dbpedia.org/ontology/owner> ?uri } 
Name the alma mater of Ernest de Saisset ?	Ernest_de_Saisset	name	0.34859329440984355	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Ernest_de_Saisset> <http://dbpedia.org/ontology/almaMater> ?uri } 
Where does John A Danaher III work?	Danaher_Corporation	subject	0.2841425129756204	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/John_A._Danaher_III> <http://dbpedia.org/property/office> ?uri } 
Where was Live in Detroit, MI recorded ?	Michigan	years	0.301729483982609	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Live_in_Detroit,_MI> <http://dbpedia.org/ontology/recordedIn> ?uri } 
What are some apes?			-inf	SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/family> <http://dbpedia.org/resource/Ape>  . }
Name the municipality of Roberto Clemente Bridge ?	Roberto_Clemente_Bridge	name	0.386353182942872	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Roberto_Clemente_Bridge> <http://dbpedia.org/ontology/municipality> ?uri } 
List all the notable works of  Russell T Davies?	Russell_T_Davies	subject	0.32967514395120323	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Russell_T_Davies> <http://dbpedia.org/ontology/notableWork> ?uri } 
What is the launch site of Aquarius (rocket) ?			-inf	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Aquarius_(rocket)> <http://dbpedia.org/ontology/launchSite> ?uri } 
Who is the music composer of Kenny Dies ?	Kenny_Dies	name	0.3380376610258657	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Kenny_Dies> <http://dbpedia.org/ontology/musicComposer> ?uri } 
What is the programme format of WWTR ?	WWTR	point	0.38907535853103603	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/WWTR> <http://dbpedia.org/ontology/programmeFormat> ?uri } 
list the founders of Bream Bay ?	Bream_Bay	name	0.37537178331906706	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Bream_Bay> <http://dbpedia.org/property/founder> ?uri } 
Where is Denver Broncos located ?	Denver_Broncos	name	0.3259357083790876	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Denver_Broncos> <http://dbpedia.org/ontology/locationCity> ?uri } 
Raymond Johansen is the mayor of what city?	City	city	0.29858033142836854	SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/leaderName> <http://dbpedia.org/resource/Raymond_Johansen>  . }
Which team won the American Football League?	American_Football_League	country	0.32542683341059553	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/American_Football_League> <http://dbpedia.org/property/champion> ?uri } 
Where was James H. Fields buried ?			-inf	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/James_H._Fields> <http://dbpedia.org/property/placeofburial> ?uri } 
